Client_ID;Nom;Âge;Produit_Acheté;Montant_Achat;Date_Achat;Méthode_Paiement;Code_Barre;SWIFT;Latitude;Longitude;Ville;Pays
08641700;Claude Turgeon;-5;Imprimante;275.46;09/05/2020;carte_credit;0033092327199;OWIYGBXK;50.26729;-301.35910;Vernon;Canada
09241909;Bégin, Hélène;23;Enceinte Bluetooth;794.96;2023-09-11;carte de crédit;1931491905866;CQUKGBA05G1;42.8334;-80.38297;Norfolk County;Canada
09628496;Jeanne ARchambault-Létourneau;21;Clé USB;1749.53;23/01/2023;paypal;5314737996501;KFPGGBWQVRR;53.51684;-113.3187;Sherwood Park;Canada
08313676;michèle-olivia giguère;41;Projecteur;1981.0;26/04/2022;carte de crédit;0143634957880;NXRKGBW3RTQ;49.88307;-492.85072;Kelowna;Canada
08518231;LAVALLÉE, DOMINIQUE-PATRICIA;80;Disque Dur Externe;806.85;2025-01-17;paypal;8941343524087;IBBRGBSI;46.1351;-60.1831;Sydney;Canada
09094772;Christelle Duguay;48;Montre Connectée;1675.58;2020-04-06;paypal;7116719022943;HDRYGB0O;53.51684;-113.3187;Sherwood Park;Canada
08749642;GrégoirE Noël;77;Enceinte Bluetooth;424.85;02/02/2021;PayPal;1232812067974;BHJWGBS3EOQ;46.1351;-60.1831;Sydney;Canada
09618329;Bertrand Leblanc;37;Enceinte Bluetooth;1027.1;2020-11-09;virement_bancaire;4994717464889;OCTBGB1UQBF;49.88307;-119.48568;Kelowna;Canada
09049024; Dominique Lachance-Charron;36;Drone;-9057.25;02/04/2022;carte_credit;7175655125675;VMYRGBC3FUQ;42.8334;-325.92236;Norfolk County;Canada
08808769;Roland Charbonneau-Chouinard;80;Webcam;1593.88;2023-11-29;carte de crédit;7034824771092;WFJRGBA9;45.44868;-73.81669;Pointe-Claire;Canada
09171275;Trépanier, Isabelle;53;Caméra de Sécurité;1859.95;29/06/2022;virement_bancaire;7378263982146;KZQIGBAST5J;45.40008;-73.58248;Sainte-Catherine;Canada
09558861;Denis, Christiane;40;Télévision;1472.42;2021-03-26;PayPal;6360576627020;DODQGB3AJ0J;46.23899;-148.23211;Charlottetown;Canada
09596153; mathilde beauchamp;73;Imprimante;1811.1;2024-08-02;PayPal;7809134316116;FWJAGBCUDSW;42.8334;-80.38297;Norfolk County;Canada
08386922;Charles Labrecque;32;Lunettes de Réalité Virtuelle;1062.35;02/07/2024;Credit Card;9379237474078;VRFCGB2WT1Q;45.40008;-73.58248;Sainte-Catherine;Canada
09671362;Arsenault, Océane;67;Console de Jeu;822.07;2020-02-11;carte_credit;6409097439535;TIVYGBIG;46.1351;-60.1831;Sydney;Canada
08709523;Élise Mathieu;17;Balance Connectée;466.37;2022-02-23;PayPal;3285884247452;OCEYGBOZ;53.51684;-113.3187;Sherwood Park;Canada
09604810;Nathalie Mathieu;68;Écouteurs;1121.82;23/06/2023;carte de crédit;9651370985933;UOWJGB0H;45.4473;-73.75335;Dorval;Canada
08471130;Joséphine Raymond;200;Télévision;367.85;19/06/2023;carte_credit;8692617964053;OOHLGBGX;53.51684;-113.3187;Sherwood Park;Canada
08643179;Xavier Lemire-Gauthier;-5;Clavier Bluetooth;1262.96;2020-04-05;carte de crédit;5329318393358;ZTAIGBJI;200.13579;-113.3187;Sherwood Park;Canada
08102058;Couture, Alex;38;Enceinte Bluetooth;-5917.7;16/05/2021;carte de crédit;2681177589178;TBXZGB7T;45.40008;-73.58248;Sainte-Catherine;Canada
09766174;CHARLES GRAVEL;42;Balance Connectée;-7758.25;22/02/2023;paypal;1249985698478;DZWDGB9N12O;45.44868;-73.81669;Pointe-Claire;Canada
09661561;Frédérique Savoie;53;Souris Sans Fil;1419.63;15/10/2020;Virement Bancaire;7111161528098;VDNLGB1DSTW;46.23899;-63.13414;Charlottetown;Canada
09327313;Brigitte Thibodeau;54;Enceinte Bluetooth;761.78;2021-06-09;Credit Card;3689980940246;KLAFGBJZEJB;46.23899;-63.13414;Charlottetown;Canada
09667525;Patricia Thériault;-5;Console de Jeu;8787.1;2024-01-06;carte_credit;9910229014768;TONIGBN6HW1;46.23899;-63.13414;Charlottetown;Canada
09784031;Alain Beaudoin;80;Webcam;-2273.7;23/07/2021;carte de crédit;3244510762264;QRVZGBWE;45.44868;-73.81669;Pointe-Claire;Canada
09071599;Daigle, Odette;21;Router Wi-Fi;1158.62;2022-02-27;carte_credit;1605297516136;SMQCGBZTVOV;45.4473;-73.75335;Dorval;Canada
09188358;HENRI LAPOINTE;51;Souris Sans Fil;713.24;03/10/2020;carte_credit;3292127799791;UKEOGBE42TR;50.26729;-119.27337;Vernon;Canada
08814777;Martin Maltais;49;Ordinateur;-8750.1;2021-06-26;carte de crédit;1998679807930;TPQEGBD2GVF;191.87725;-113.3187;Sherwood Park;Canada
08377883;FRÉDÉRIQUE CHAREST ;15;Clé USB;962.37;18/06/2021;carte de crédit;6590515186442;KCSVGBJW;43.86682;-79.2663;Markham;Canada
09914865;Samuel DuBé;61;Enceinte Bluetooth;1391.74,00;2023-05-04;carte_credit;6850542357339;ECJZGBG6;53.51684;-113.3187;Sherwood Park;Canada
08592965;Gérard Maltais;34;Montre Connectée;8546.55;2023-08-01;paypal;9270653794736;JZZPGBMX;211.88032;-244.18790;Sydney;Canada
09746886;Forget, Gilles;24;Lunettes de Réalité Virtuelle;647,96;2023-02-15;PayPal;4075818141241;QENCGBO2WB0;45.43341;-73.86586;Beaconsfield;Canada
08536150;Laurent Soucy;56;Écran;1892.12;2020-07-06;PayPal;5220472779012;IGERGB71;46.23899;-63.13414;Charlottetown;Canada
09410367;Édouard Laliberté;41;Appareil de Streaming;183.58,00;2024-09-04;PayPal;9808932460951;SNFVGBF7;42.8334;-352.67214;Norfolk County;Canada
09888807;Anaïs-Mélanie Larouche;26;Caméra de Sécurité;1322.73;2025-01-26;Virement Bancaire;4051531952050;UFYVGB34LIE;45.40008;-363.05607;Sainte-Catherine;Canada
09303058;Thérèse Gélinas;46;Enceinte Bluetooth;982.16;2022-06-12;Virement Bancaire;0345054156670;KFPWGB5X7RF;102.89744;-73.81669;Pointe-Claire;Canada
08928450; Louis Auger;49;Appareil de Streaming;712.84;12/07/2021;Credit Card;7962757059645;CVUMGBX6;46.1351;-60.1831;Sydney;Canada
08297020;Jean, Marcel-Marcel;20;Ordinateur;1527.0;27/11/2024;PayPal;0927557192852;KUIHGBHBL57;45.44868;-73.81669;Pointe-Claire;Canada
09447394;Landry, Christine-Camille;200;Tablette;1347.33;2024-05-29;paypal;7271551884422;ZLQHGBHM;45.4473;-73.75335;Dorval;Canada
09058958;Zacharie Richer;65;Appareil Photo;473.43;11/06/2020;virement_bancaire;4678669125172;VQLEGB9LI16;45.43341;-73.86586;Beaconsfield;Canada
08242259;Lorraine Ferland;24;Disque Dur Externe;480.25;2021-06-20;virement_bancaire;1438424981824;FVTXGBVC;45.43341;-73.86586;Beaconsfield;Canada
08943965; Mathilde-Lucy Fortier;19;Router Wi-Fi;802.26;26/04/2023;carte_credit;4736471027678;GKTEGBUUWZI;86.17810;-80.38297;Norfolk County;Canada
09153714;Constance Bédard-Poirier;74;Chargeur Sans Fil;-1692,5;05/04/2020;paypal;6963259532781;PJPAGBFZ63P;212.18663;-119.48568;Kelowna;Canada
09004795; Lucie Roy;36;Écran;1186.32;2024-05-18;carte_credit;6245650609836;RJCMGB629RH;45.4473;-73.75335;Dorval;Canada
08558527;Ouellet, Laurence;43;Clavier Bluetooth;1949.97;2020-03-26;Credit Card;2578729825955;MTXJGBV6;53.51684;-113.3187;Sherwood Park;Canada
09947054; Noël Charron;45;Console de Jeu;9029.45;2021-08-03;paypal;0974993097289;EVHBGBHMB2U;45.44868;-73.81669;Pointe-Claire;Canada
08368973;Roland Demers;52;Projecteur;903.26;2022-11-24;PayPal;7865278585498;GHIRGBTOTSN;45.40008;-73.58248;Sainte-Catherine;Canada
09584419;Giroux, Thérèse;67;Télévision;336.68,00;07/12/2024;carte de crédit;2404157473386;RWIEGBGPPD7;181.35848;-119.48568;Kelowna;Canada
08165718;Dumas, Théodore;70;Caméra de Sécurité;5194.55;2020-10-25;paypal;7734540193801;NFBMGB5L;99.51835;-313.73060;Markham;Canada
09499157;Michèle Gélinas-Dumont;56;Lunettes de Réalité Virtuelle;1137.1;2022-07-21;paypal;2874315274207;ZJSVGBMLZ16;42.8334;-165.04317;Norfolk County;Canada
08122759;Jean Jean;61;Tablette;60.99;20/03/2021;carte_credit;4549904530177;FMVQGBTHSXO;49.88307;-119.48568;Kelowna;Canada
09279568;Hugues Émond-St-Jean ;-5;Appareil Photo;-1448.3000000000002;29/01/2023;Credit Card;1878519108833;FKQOGBHN;50.26729;-119.27337;Vernon;Canada
09870727; Bergeron-Veilleux, Marguerite;68;Chargeur Sans Fil;9801.900000000001;2022-05-22;Credit Card;4064039106511;CPBJGB0L;45.4473;-73.75335;Dorval;Canada
08676610;Camille Turcotte;44;Balance Connectée;880.08;2025-02-17;carte_credit;6823004786862;HOLEGBRM;46.23899;-63.13414;Charlottetown;Canada
08903310;Brunet, Philippe;25;Console de Jeu;901.19;22/06/2023;PayPal;0306738302844;XSKSGBUP;43.86682;-79.2663;Markham;Canada
08364401;Marcelle Drouin;19;Clavier Bluetooth;1417.58;29/03/2020;carte de crédit;5685662462875;HJWEGB3D;53.51684;-113.3187;Sherwood Park;Canada
09882638;Luc Lamontagne-Caron;-5;Montre Connectée;927.09;2024-10-07;paypal;5183046990131;PGKJGBAN;49.88307;-119.48568;Kelowna;Canada
09393639;Bertrand, Gabrielle;17;Appareil de Streaming;-9838.6;04/10/2022;carte de crédit;5445877175355;NBSHGBJBQ90;114.12962;-79.2663;Markham;Canada
09536937;Danielle Thibodeau;26;Téléphone;-9702.3,00;2024-03-31;Virement Bancaire;7725228728088;CVBYGBA0;45.4473;-73.75335;Dorval;Canada
09203877;Zacharie Sirois;61;Chargeur Sans Fil;5576.15;01/07/2022;virement_bancaire;7008860084843;QWVNGBLG;46.23899;-63.13414;Charlottetown;Canada
09339842;stéphanie trudel;150;Clé USB;1511.26;29/05/2020;Virement Bancaire;6793341016666;BUAWGBKF51V;50.26729;-119.27337;Vernon;Canada
09033979;Bertrand Grégoire;74;Webcam;524,13;13/10/2024;virement_bancaire;8902503926141;SHSMGB8V;45.44868;-73.81669;Pointe-Claire;Canada
08850164;Lucas Vézina;68;Balance Connectée;311.33;2023-12-22;Credit Card;9650477358664;VSVMGBFS;49.88307;-119.48568;Kelowna;Canada
09426269;Béatrice Dubé;-5;Console de Jeu;9332.3;2020-01-10;PayPal;4754121267885;DACLGB9FUYA;43.86682;-79.2663;Markham;Canada
08183989;Martel, Chantal ;45;Tablette;4469.599999999999;2021-05-22;paypal;4721264647157;HXUPGBM3GIT;45.43341;-73.86586;Beaconsfield;Canada
09965751;Julien Gravel;71;Téléphone;1734.92;2023-02-12;Virement Bancaire;3752654793568;ZMLDGBM8L9B;45.40008;-73.58248;Sainte-Catherine;Canada
09416727;Jacques-François Beauchamp;36;Webcam;301.99;2022-03-09;carte de crédit;6179796886809;WZRTGBFGPWK;168.67535;-60.1831;Sydney;Canada
08965615;Jean Lemieux;17;Télévision;1935.99;22/08/2022;paypal;8899375679827;APDJGB0FHJW;43.86682;-79.2663;Markham;Canada
08387578; Patricia Denis-Vaillancourt;51;Projecteur;1063.27,00;2021-08-25;Virement Bancaire;4010512382828;RNOHGBZLL1Z;45.43341;-73.86586;Beaconsfield;Canada
08796608;Asselin-Blouin, Jonathan;59;Balance Connectée;-9631.8;2024-03-06;paypal;1918255371471;TMTMGBHWW3L;46.1351;-60.1831;Sydney;Canada
08912510;Brigitte Lachance;44;Clavier Bluetooth;842.66,00;2021-12-05;carte de crédit;2866929662785;RFPJGBIL;42.8334;-80.38297;Norfolk County;Canada
08050724;Marcelle Nguyen;52;Disque Dur Externe;-547.2,00;2023-05-17;PayPal;6767721903402;HRJFGB3596H;50.26729;-119.27337;Vernon;Canada
08858078;Rodrigue, Béatrice;34;Montre Connectée;932.56;2024-04-16;carte_credit;3407451713393;WTUNGBKINND;50.26729;-119.27337;Vernon;Canada
09498259;Margot Plante;69;Drone;194.34;2024-12-03;Credit Card;8126042232536;PESUGBR0Y2E;46.1351;-60.1831;Sydney;Canada
09845770;Daniel Létourneau;42;Montre Connectée;1348.64;2025-01-09;paypal;5186363745453;SPZKGBDC;46.23899;-63.13414;Charlottetown;Canada
09127708;Emmanuel Vincent-Turgeon;68;Disque Dur Externe;741.58;2021-07-23;virement_bancaire;4154152064369;WDAGGB4E;45.4473;-352.70007;Dorval;Canada
08870056;Noémie Martin;150;Écouteurs;686.19;20/06/2022;virement_bancaire;3611155426224;QSATGBK2;157.72295;-80.38297;Norfolk County;Canada
08697318;Lavallée, Émile;78;Webcam;5958.3;10/10/2023;Credit Card;5652341389990;YWAVGBTN76M;45.44868;-73.81669;Pointe-Claire;Canada
09376137;Germain, Samuel;62;Router Wi-Fi;1543.98;2025-01-19;paypal;5526965827100;AIGBGBDZ;114.61388;-113.3187;Sherwood Park;Canada
08666185;Audrey Houle;35;Chargeur Sans Fil;-3606.15;29/05/2020;Virement Bancaire;3285691463038;NDOTGBDT;113.37893;-60.1831;Sydney;Canada
09020276;Vachon, Chantal;71;Montre Connectée;4349.9;27/08/2020;Credit Card;4105648149176;QLBPGBKXKQG;216.09481;-119.27337;Vernon;Canada
08800039;Françoise-Geneviève Provost;60;Téléphone;1394.54,00;10/10/2020;carte_credit;0863536541955;QVBFGBO7;45.43341;-73.86586;Beaconsfield;Canada
09744516;Martin Proulx;49;Clé USB;4073.2;04/07/2021;paypal;4937597383208;AHRLGBAVAYT;99.25800;-63.13414;Charlottetown;Canada
09367029;Arthur Provost;33;Tablette;278.0;2021-03-13;virement_bancaire;8657191826197;NVEHGBSQ;42.8334;-80.38297;Norfolk County;Canada
08574312;Victor Leclerc ;45;Téléphone;-5221.799999999999;2020-10-20;Credit Card;2775618537474;DCFZGBTCNUJ;46.23899;-63.13414;Charlottetown;Canada
08680440;Nathan Beaudry;69;Imprimante;1818.16;03/05/2022;Virement Bancaire;8317121003233;LVUUGBFQEBE;49.88307;-442.41269;Kelowna;Canada
08151070;TriStan Desrosiers;42;Disque Dur Externe;6874.400000000001;2024-03-31;carte_credit;6706625324470;BTTTGBPS;45.40008;-73.58248;Sainte-Catherine;Canada
08701466;Christine Marcoux;70;Drone;1059.06;28/07/2024;carte de crédit;8380657875988;MIFAGBUOBRD;45.40008;-73.58248;Sainte-Catherine;Canada
08932136;Béland, LuciE;64;Clé USB;789.73;2024-02-02;Credit Card;0396522395596;WWLSGBJM;45.40008;-73.58248;Sainte-Catherine;Canada
08270108;Alexis-Samuel Gingras;32;Lunettes de Réalité Virtuelle;-1961.0;2020-01-02;Virement Bancaire;9325250029214;CLWVGBZGVTU;45.4473;-73.75335;Dorval;Canada
09752894;Vincent-Georges Gilbert;52;Souris Sans Fil;-7323.7;2021-08-02;Credit Card;4220969029591;USDPGBJV;46.23899;-143.88032;Charlottetown;Canada
08521576;Claire Bérubé;79;Disque Dur Externe;1473.52;2023-08-01;Credit Card;5410067626764;RMDPGBOK2EC;43.86682;-79.2663;Markham;Canada
09411524;Bertrand Duchesne;-5;Chargeur Sans Fil;1776.98;13/11/2024;Credit Card;1599706296200;KGGNGB98;43.86682;-79.2663;Markham;Canada
09310698;benjamin charbonneau;22;Écran;181.48;08/01/2020;paypal;1497310324176;JZMPGB5Q;46.23899;-63.13414;Charlottetown;Canada
09256521;Renaud, Jean;28;Enceinte Bluetooth;597.19;2022-05-28;PayPal;3490211586931;MQNRGB4P;153.74367;-306.53138;Sainte-Catherine;Canada
08608987;Philippe Couture;-5;Enceinte Bluetooth;4932.3;26/11/2024;paypal;2332061632943;XZCCGBY9Z9U;43.86682;-79.2663;Markham;Canada
08099860;Céline Grenier;-5;Montre Connectée;1060.73;2022-12-05;PayPal;9119148564679;BFIMGBJZCZV;49.88307;-119.48568;Kelowna;Canada
09450547;Véronique Giguère;74;Souris Sans Fil;1591.68;08/06/2024;carte_credit;1324754691376;NXPYGB7X;45.43341;-73.86586;Beaconsfield;Canada
08148629;Gilbert Drolet;65;Drone;111.19;21/04/2024;Virement Bancaire;0307053457868;VAHLGB52;45.4473;-244.30030;Dorval;Canada
08855244; Jean, Alice;50;Télévision;-848.3,00;2020-04-03;virement_bancaire;9333346800722;TZAHGBQT;224.09030;-60.1831;Sydney;Canada
09657434;Nathalie Vallée;18;Disque Dur Externe;-5943.25;05/04/2024;carte_credit;6910858994410;CKIUGBURQTM;45.4473;-73.75335;Dorval;Canada
08096524;Boulanger, Édith-Denise;70;Écran;1568.78;01/03/2022;Virement Bancaire;6099353875841;VRFJGBG4;45.4473;-73.75335;Dorval;Canada
08251350;Isabelle Doucet;23;Projecteur;668.0;2024-08-01;Credit Card;5494717099917;GQDVGBY7T0D;45.4473;-164.39402;Dorval;Canada
09569720;Charles Rioux;45;Clé USB;295.15;20/09/2021;paypal;2500743292710;TNUNGBZ1;45.40008;-73.58248;Sainte-Catherine;Canada
09083509;Alexis Dallaire-Gagnon;38;Chargeur Sans Fil;188.75;29/03/2023;Credit Card;3354216894210;JJOXGB77;42.8334;-80.38297;Norfolk County;Canada
09575325;Cyr, William;80;Tablette;1160,3;2023-10-04;paypal;2309821506486;TBVDGBBD;46.23899;-63.13414;Charlottetown;Canada
08618474;Alexandre Gaudreault-Moreau;31;Imprimante;198.35;03/06/2023;PayPal;8499261891410;PGTGGBQ7;49.88307;-119.48568;Kelowna;Canada
08420879;Élodie-Colette Tremblay;56;Enceinte Bluetooth;-4494.45;25/01/2020;virement_bancaire;1197218114373;IOBDGBLCSXU;45.44868;-73.81669;Pointe-Claire;Canada
09002258;Maude Plante-Drolet;53;Clavier Bluetooth;6687.3;2023-10-16;carte_credit;5521667467623;EWXBGBKG;45.44868;-73.81669;Pointe-Claire;Canada
09972964;Emmanuel Benoît;75;Router Wi-Fi;1444.02;03/10/2024;paypal;1670145089933;QQWWGBG1P4W;46.1351;-120.42712;Sydney;Canada
09890022;asselin, chantal-astrid;18;Lunettes de Réalité Virtuelle;102.86;2022-07-17;carte de crédit;3540838663178;ZSOCGB52UH5;46.1351;-60.1831;Sydney;Canada
08660886;Yves Prévost;58;Projecteur;1999.1999999999998;2023-03-14;PayPal;4883755037585;WVLWGB2HGOA;42.8334;-80.38297;Norfolk County;Canada
08885104;Catherine-Vanessa Beauchamp;61;Balance Connectée;4212.65,00;2023-11-02;carte_credit;6149331637357;YNBUGBH2;162.48807;-73.58248;Sainte-Catherine;Canada
09270800;Provost, Laurie-Simone;150;Appareil de Streaming;882.45;2024-09-14;carte_credit;9221699586694;IMKJGB2I;45.4473;-73.75335;Dorval;Canada
08848581;Grégoire Chouinard-Labbé;150;Drone;1550.78;2021-07-02;carte_credit;5228851587999;VXRJGB1A7GB;45.44868;-73.81669;Pointe-Claire;Canada
09034242;BEnoît Beauregard;200;Téléphone;-4330.75;2024-01-20;Credit Card;3805719838633;WVBMGBY0U9D;45.43341;-73.86586;Beaconsfield;Canada
08973597;Jules Lapierre-Turcotte;74;Clé USB;1469.51;2025-01-30;Virement Bancaire;1228160648422;SIAKGB3J;45.43341;-73.86586;Beaconsfield;Canada
09909472;Laurent Dumont;60;Drone;267.67;19/02/2021;Virement Bancaire;2818268861534;VKKLGBSN;131.16152;-119.27337;Vernon;Canada
08801579;Audet, Arthur-Louis;58;Ordinateur;1198.14;25/09/2024;carte de crédit;1648408588776;JUGKGB6F;46.23899;-63.13414;Charlottetown;Canada
09801332;Grégoire Paquin;28;Clavier Bluetooth;1969.07;2024-04-13;carte_credit;6120750110249;SHINGBY2;46.1351;-60.1831;Sydney;Canada
08506184;Victor Pelletier;26;Appareil de Streaming;774.43;2023-08-16;PayPal;1581449147666;PFRHGBIZ;53.51684;-113.3187;Sherwood Park;Canada
08450883;Arthur Gagnon ;52;Télévision;1936.29;2022-12-17;Virement Bancaire;6881435368224;HTIGGBHL;221.66845;-60.1831;Sydney;Canada
08878144;Aurore Savard;65;Lunettes de Réalité Virtuelle;1320,9;01/10/2023;paypal;7552314913574;KTVJGBJXU1K;45.43341;-367.05557;Beaconsfield;Canada
09364523;Boivin, Josette-Jessica;150;Caméra de Sécurité;-9365.1;02/01/2024;carte de crédit;7812914283416;AQUAGBZN;45.43341;-73.86586;Beaconsfield;Canada
09887251;LaNdry, Vincent-Jules;51;Lunettes de Réalité Virtuelle;45.39;2022-05-27;Virement Bancaire;8165803928271;FSSVGBJ4;143.53258;-80.38297;Norfolk County;Canada
08731456;Grégoire Laflamme;76;Chargeur Sans Fil;859.45;2024-09-09;PayPal;5677005184490;MUMLGBE7;43.86682;-79.2663;Markham;Canada
09865570;robert vincent;53;Enceinte Bluetooth;1979.51;19/09/2020;PayPal;2318432225914;NZKXGBH4;118.78935;-60.1831;Sydney;Canada
08392602;Emmanuel Pépin;74;Chargeur Sans Fil;464.87,00;2023-01-23;paypal;2809202428692;XXVJGBFN;45.40008;-73.58248;Sainte-Catherine;Canada
08723697;Roger Therrien;68;Casque Audio;460.57;2020-11-12;virement_bancaire;5799136621030;ETDFGB4C86H;46.23899;-63.13414;Charlottetown;Canada
09980686;Anaïs Denis;38;Chargeur Sans Fil;619.08;27/09/2022;carte_credit;3765991624730;JTRNGBQM;45.43341;-73.86586;Beaconsfield;Canada
08818065;HorteNse Charbonneau;75;Webcam;-8768.75;20/07/2020;carte de crédit;6944869594635;RZRPGBLX994;43.86682;-173.03492;Markham;Canada
09562134;Perreault, David;61;Écouteurs;1646,3;2022-08-17;Credit Card;5890260127969;CIHLGBFC;45.44868;-73.81669;Pointe-Claire;Canada
09849020;Proulx-Dufresne, Alexandra;50;Téléphone;1266.1;2023-05-25;virement_bancaire;8430988392057;UAFCGBRZ;42.8334;-80.38297;Norfolk County;Canada
08938015;Patricia Maltais;30;Disque Dur Externe;-9961.35,00;21/11/2022;Virement Bancaire;9554393769040;NQDRGBE6;43.86682;-79.2663;Markham;Canada
09848948;Marguerite Benoît;31;Webcam;1484.91;2023-12-24;Virement Bancaire;5779071416335;NLQRGBAQPSF;45.44868;-234.19039;Pointe-Claire;Canada
08827555;Christelle Boily;29;Clavier Bluetooth;-2809.8;2023-11-09;PayPal;3733343333951;YDDCGB5A;53.51684;-113.3187;Sherwood Park;Canada
09595798;Christelle-Rosalie Charest;66;Router Wi-Fi;-598.55;23/08/2022;Virement Bancaire;6392086780858;VYFOGBH73UA;45.43341;-73.86586;Beaconsfield;Canada
09915596;Théodore Therrien;54;Télévision;-7641.849999999999;2021-03-23;carte de crédit;7955276365564;OFSEGBOGRP9;45.44868;-230.17218;Pointe-Claire;Canada
09227026;Pouliot, Catherine-Virginie;78;Ordinateur;-855.3499999999999;2022-09-03;Virement Bancaire;5744890612039;PUDOGBVQXX9;53.51684;-113.3187;Sherwood Park;Canada
08061591;JOSEPH LEDUC;26;Appareil Photo;1809.64;05/09/2021;carte_credit;8771694722562;CCFKGBOUUSR;50.26729;-119.27337;Vernon;Canada
09759879;Beaudry, Gérard;39;Tablette;-7998.0;2020-02-13;carte_credit;3413261117801;YMQYGBFG;43.86682;-79.2663;Markham;Canada
09164338;Nadeau-Martin, Mathilde;78;Casque Audio;848.5,00;2022-09-21;paypal;2005577848725;STOUGB17;46.1351;-60.1831;Sydney;Canada
09578319;lacroix, françoise;18;Tablette;1350.44;05/05/2021;PayPal;4008254780774;AYNZGBSOA9X;49.88307;-119.48568;Kelowna;Canada
09663268;Jean-Charles Carrier ;26;Casque Audio;385.23;26/03/2023;paypal;8944846312243;UOTOGBR5;49.88307;-119.48568;Kelowna;Canada
08208026;Diane Nadeau;52;Montre Connectée;1111.04;2023-09-12;virement_bancaire;0312073564755;WZBKGBFJDRZ;46.23899;-63.13414;Charlottetown;Canada
08234605;Maurice-Paul Bérubé;27;Clavier Bluetooth;1091.44;24/10/2023;paypal;0371837645208;IPUJGBMX;45.43341;-73.86586;Beaconsfield;Canada
09365025; Michel Labonté;66;Disque Dur Externe;1698.35;03/04/2021;virement_bancaire;0979251327191;YUBBGBWJ8GI;45.40008;-73.58248;Sainte-Catherine;Canada
09857308;Patricia Landry;150;Webcam;140.79;18/04/2021;carte_credit;0778487392856;XOITGB9KE7J;131.56854;-73.58248;Sainte-Catherine;Canada
09857087;Alexis Tanguay;200;Disque Dur Externe;8457.35;05/06/2024;carte de crédit;9351863878291;KNUKGBHG7EC;100.52125;-73.75335;Dorval;Canada
